match
"Abbot, ""Covenants in a Lease Which Run with the Land"", (1921) 31 Yale Law Journal"
"Hathaway, ""A Reconsideration of the Underlying Premise of Refugee Law"", (1990) 31 Harvard International Law Journal"
"Hathaway, ""A Reconsideration of the Underlying Premise of Refugee Law"", (1990) 31 Harvard International Law Journal"
"Havelock, ""A Taxonomic Approach to Quantum Meruit"" (2016) 132 Law Quarterly Review"
"Havelock, ""A Taxonomic Approach to Quantum Meruit"" (2016) 132 Law Quarterly Review"
"Havelock, ""A Taxonomic Approach to Quantum Meruit"" (2016) 132 Law Quarterly Review"
"Havelock, ""A Taxonomic Approach to Quantum Meruit"" (2016) 132 Law Quarterly Review"
"Hawley, ""Punitive and Aggravated Damages in Canada"" (1980) 18 Alberta Law Review"
"Hawley, ""Punitive and Aggravated Damages in Canada"" (1980) 18 Alberta Law Review"
"Hay, ""Controlling the English Prosecutor"" (1983) 21 Osgoode Hall Law Journal"
"Hay, ""Controlling the English Prosecutor"" (1983) 21 Osgoode Hall Law Journal"
"Hay, ""Controlling the English Prosecutor"" (1983) 21 Osgoode Hall Law Journal"
"Hay, ""Controlling the English Prosecutor"" (1983) 21 Osgoode Hall Law Journal"
"Hayes, ""Injunctions Before Judgment in Cases of Defamation"", (1971) 45 Australian Law Journal"
"Hayes, ""Injunctions Before Judgment in Cases of Defamation"", (1971) 45 Australian Law Journal"
"Hayne, ""Letting Justice Be Done Without the Heavens Falling"", (2001) 27 Monash University Law Review"
"Hayne, ""Letting Justice Be Done Without the Heavens Falling"", (2001) 27 Monash University Law Review"
"Hayne, ""Letting Justice be Done Without the Heavens Falling"", (2001) 27 Monash University Law Review"
"Hayne, ""Letting Justice Be Done Without the Heavens Falling"", (2001) 27 Monash University Law Review"
"Hayne, ""Letting Justice Be Done Without the Heavens Falling"", (2001) 27 Monash University Law Review"
"Hayton, ""The Uses of Trusts in the Commercial Context"", in Hayton (ed), Modern International Developments in Trust Law, (1999) 145 at"
"Hayton, ""Restrictive Covenants as Property Interests"", (1971) 87 Law Quarterly Review"
"Hayton, ""Restrictive Covenants as Property Interests"", (1971) 87 Law Quarterly Review"
"Campbell, ""Inferior and Superior Courts and Courts of Record"", (1997) 6 Journal of Judicial Administration"
"Bailey, ""The Federal Jurisdiction of State Courts"", (1940) 2 Res Judicatae"
"Sawer, ""The Australian Constitution and the Australian Aborigine"" (1966) 2 Federal Law Review"
"Head, ""The Scheme Affecting Occupations"", in Thomas and Saunders"
"Heard, ""Military Law and the Charter of Rights"", (1988) 11 Dalhousie Law Journal"
"Heard, ""Military Law and the Charter of Rights"", (1988) 11 Dalhousie Law Journal"
"Heath, ""Exhaustion and Patent Rights"", in Okediji and Bagley"
"Heath, ""Exhaustion and Patent Rights"", in Okediji and Bagley"
"Helfer, ""Forum Shopping for Human Rights"", (1999) 148 University of Pennsylvania Law Review"
"Heller, ""Ill-founded outrage"", The Times Literary Supplement, 13 August 1993 at 11 Garcia v National Australia Bank (1998) 72 ALJR"
"Helmholz, ""Introduction"" in Helmholz et al, The Privilege Against Self-Incrimination:"
"Henchman, ""The New South Wales Jury of Four Persons"", (1959) 33 Australian Law Journal"
"Henchman, ""The New South Wales Jury of Four Persons"", (1959) 33 Australian Law Journal"
"Henderson, ""Brandeis briefs and the proof of legislative facts in proceedings under the Human Rights Act 1998"", [1998] Public Law"
"Henderson, ""The Background of the Seventh Amendment"", (1966) 80 Harvard Law Review"
"Herbold, ""AIDS Policy Development Within the Department of Defense"" (1986) 151 Military Medicine"
"Herbots, ""Economic loss in the legal systems of the continent"", in Furmston (ed), The Law of Tort:"
"Herbots, ""Economic loss in the legal systems of the continent"", in Furmston (ed), The Law of Tort:"
"Hetherington, ""Inherent Powers and the Mareva Jurisdiction"", (1983) 10 Sydney Law Review"
"Heydon, ""Equitable Aid to Purchasers in Breach of Time-Essential Conditions"", (1997) 113 Law Quarterly Review"
"Heydon, ""Statutory Restrictions on the Privilege Against Self-Incrimination"", (1971) 87 Law Quarterly Review"
"Heydon, ""Judicial Activism and the Death of the Rule of Law"", (2003) 23 Australian Bar Review"
"Heydon, ""Recent Developments in Constructive Trusts"", (1977) 51 Australian Law Journal"
"Heydon, ""Restraint of Trade in the High Court"", (1976) 50 Australian Law Journal"
"Hill, ""Flogging a Dead Horse - The Postal Acceptance Rule and Email"", (2001) 17 Journal of Contract Law"
"Hill, ""Á Judicial Perspective on Tax Law Reform"", (1998) 72 Australian Law Journal"
"Hill, ""A Judicial Perspective on Tax Law Reform"", (1998) 72 Australian Law Journal"
"Hill, ""A Judicial Perspective on Tax Law Reform"", (1998) 72 Australian Law Journal"
"Hill, ""Vicarious Liability of the Car-Owner"", (1954) 1 Sydney Law Review"
"Hill, ""The Proprietary Character of Possession"", in Cooke"
"Hill, ""The Proprietary Character of Possession"", in Cooke"
"Hirst, ""Protection"", in Davison et al (eds), The Oxford Companion to Australian History, rev ed (2001) 536 at"
"Hoffheimer, ""The Rise and Fall of Lesser Included Offenses"", (2005) 36 Rutgers Law Journal"
"Hoffmann, ""The Intolerable Wrestle With Words and Meanings"", (1997) 114 South African Law Journal"
"Hoffmann, ""Human Rights and the House of Lords"", (1999) 62 Modern Law Review"
"Hoffmann, ""Similar Facts after Boardman"", (1975) 91 Law Quarterly Review"
"Hoffmann, ""Similar Facts After Boardman"", (1975) 91 Law Quarterly Review"
"Hoffmann, ""Language and Lawyers"" (2018) 134 Law Quarterly Review"
"Hoffmann, ""Language and Lawyers"" (2018) 134 Law Quarterly Review"
"Hogg and Bushell, ""The Charter Dialogue Between Courts and Legislatures"", (1997) 35 Osgoode Hall Law Journal"
"Hohfeld, ""The Individual Liability of Stockholders and the Conflict of Laws"", (1909) 9 Columbia Law Review"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"", (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"", (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"", (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Some Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1913) 23 Yale Law Journal"
"Hohfeld, ""Fundamental Legal Conceptions as Applied in Judicial Reasoning"" (1917) 26 Yale Law Journal"
"Hohfeld, ""The Relations between Equity and Law"" (1913) 11 Michigan Law Review"
"Holdsworth, ""The Relation of English Law to International Law"", in Goodhart and Hanbury (eds), Essays in Law and History, (1946) 260 at 265-266 noted in The Commonwealth v Yarmirr (1999) 101 FCR 171 at 273 [431]."
"Holdsworth, ""The History of the Treatment of Choses in Action by the Common Law"", (1920) 33 Harvard Law Review"
"Holdsworth, ""Defamation in the Sixteenth and Seventeenth Centuries"", (1925) 41 Law Quarterly Review"
"Holdsworth, ""Immunity for Judicial Acts"", (1924) Journal of the Society of Public Teachers of Law"
"Holdsworth, ""Immunity for Judicial Acts"", (1924) Journal of the Society of Public Teachers of Law"
"Holdsworth, ""The History of Acts of State in English Law"", (1941) 41 Columbia Law Review"
"Holdsworth, ""A Chapter of Accidents in the Law of Libel"" (1941) 57 Law Quarterly Review"
"Holdsworth, ""The Origin of the Rule in Baker v Bolton"", (1916) 32 Law Quarterly Review"
"Holdsworth, ""Martial Law Historically Considered"", (1902) 18 Law Quarterly Review"
"Holdsworth, ""Sir Matthew Hale"", (1923) 39 Law Quarterly Review"
"Holdsworth, ""Sir Matthew Hale"", (1923) 39 Law Quarterly Review"
"Holmes, ""The Path of the Law"", in Collected Legal Papers, (1921) at 187 Williams, ""Equitable Principles for the Protection of Vulnerable Guarantors:"
"Holmes, ""The Path of the Law"", in Holmes, Collected Legal Papers, (1921) 167 at 187."
"Holmes, ""The Theory of Legal Interpretation"", (1899) 12 Harvard Law Review"
"Holmes, ""The Theory of Legal Interpretation"", (1899) 12 Harvard Law Review"
"Holmes, ""The Theory of Legal Interpretation"", (1899) 12 Harvard Law Review"
"Holmes, ""Law in Science and Science in Law"" (1899) 12 Harvard Law Review"
"Holmes, ""The Path of the Law"", (1897) 10 Harvard Law Review"
"Holmes, ""The Path of the Law"", (1897) 10 Harvard Law Review"
"Holmes, ""The Path of the Law"", (1897) 10 Harvard Law Review"
"Holmes, ""The Path of the Law"", (1897) 10 Harvard Law Review"
"Holmes, ""Agency"", (1891) 4 Harvard Law Review"
"Holmes, ""Agency"", (1891) 4 Harvard Law Review"
"Holmes, ""Agency"", (1891) 4 Harvard Law Review"
"Honore, A M, ""Causation and Remoteness of Damage"", in International Encyclopedia of Comparative Law XI, (1983) Ch 7 s"
"Honore, A M, ""Causation and Remoteness of Damage"", in International Encyclopedia of Comparative Law XI, (1983) Ch 7 s"
"Honore, A M, ""Ownership"", in Guest (ed), Oxford Essays in Jurisprudence (1961) 107 at 113, 116."
"Honore, A M, ""Ownership"", in Guest (ed), Oxford Essays in Jurisprudence (1961) 107 at 113."
"Honore, A M, ""Causation and Disclosure of Medical Risks"", (1998) 114 Law Quarterly Review"
"Honore, A M, ""Causation and Disclosure of Medical Risks"", (1998) 114 Law Quarterly Review"
"Honore, A M, ""Ownership"" in Guest (ed), Oxford Essays in Jurisprudence (1961) 107."
"Hooley, ""Implied Terms After Belize Telecom"", (2014) 73 Cambridge Law Journal"
"Horack, ""The Multiple Consequences of a Single Criminal Act"", (1937) 21 Minnesota Law Review"
"Horack, ""The Dangerous Instrument Doctrine"", (1917) 26 Yale Law Journal"
"Horack, ""The Dangerous Instrument Doctrine"", (1917) 26 Yale Law Journal"
"Horder, ""Homicide Reform and the Changing Character of Legal Thought"", in Clarkson and Cunningham"
"Horrigan, ""Towards a Jurisprudence of High Court Overruling"", (1992) 66 Australian Law Journal"
"Howden, ""Indigenous Traditional Knowledge and Native Title"", (2001) 24 University of New South Wales Law Journal"
"Howell, ""What the Crown May Do"", (2010) 15 Judicial Review"
"However, ""the original jurisdiction of the High Court"" identified in s 73(i) is, as a matter of textual analysis, that ""original jurisdiction"" detailed in ss 75 and 76[257]."
"Howie, ""Criminal Law Update 2004"", (2004) 7 Judicial Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Hoyano, ""Misconceptions About Wrongful Conception"", (2002) 65 Modern Law Review"
"Hudson, ""A Treatise of the Court of Star Chamber"", in Hargrave (ed), Collectanea Juridica, (1792), vol 2,"
"Hughes, ""Institutionalising electoral integrity"", in Sawer (ed), Elections:"
"Hughes, ""Institutionalising electoral integrity"", in Sawer (ed), Elections:"
"Humphrey, ""The Implementation of International Human Rights Law"", (1978) 24 New York Law School Law Review"
"Hunter, ""The Development of the Rule Against Double Jeopardy"", (1984) 5 Journal of Legal History"
"Hunter, ""The Development of the Rule Against Double Jeopardy"", (1984) 5 Journal of Legal History"
"Hunter and Carter, ""Quantum Meruit and Building Contracts"" (1989) 2 Journal of Contract Law"
"Hunter and Carter, ""Quantum Meruit and Building Contracts"" (1989) 2 Journal of Contract Law"
"Hurst, ""Nationality of Claims"" (1926) 7 British Year Book of International Law"
"Hyndman, ""Refugees Under International Law with a Reference to the Concept of Asylum"", (1986) 60 Australian Law Journal"
"Hyndman, ""Refugees Under International Law with a Reference to the Concept of Asylum"", (1986) 60 Australian Law Journal"
"Hyndman, ""Refugees Under International Law with a Reference to the Concept of Asylum"", (1986) 60 Australian Law Journal"
"Ibbetson, ""Unjust Enrichment in English Law"", in Schrage (ed), Unjust Enrichment and the Law of Contract, (2001) 33 at"
"Imwinkelried, ""The Evolution of the Use of the Doctrine of Chances as Theory of Admissibility for Similar Fact Evidence"", (1993) 22 Anglo-American Law Review"
"Edelman, ""Two Fundamental Questions for the Law of Trusts"", (2013) 129 Law Quarterly Review"
"Varsanyi, ""The Independence of Nauru"", (1968) 7 Australian Lawyer"
"Ingram, ""Liability of a Principal for Fraud or Abuse of Position by an Agent"", (1995) 17 Whittier Law Review"
"Ipp, ""Themes in the law of torts"", (2007) 81 Australian Law Journal"
"Isaacs, ""The Limits of Judicial Discretion"", (1923) 32 Yale Law Journal"
"Issacharoff, ""On Political Corruption"", (2010) 124 Harvard Law Review"
"J C Smith, ""Obtaining Cheques by Deception or Theft"", (1997) Criminal Law Review"
"J C Smith, ""Liability for omissions in the criminal law"", (1984) 4 Legal Studies"
"J F Burrows, ""Contractual Co-operation and the Implied Term"" (1968) 31 Modern Law Review"
"J Spigelman, ""Principle of legality and the clear statement principle"", (2005) 79 Australian Law Journal"
"Jackman, ""Why the History of Restitution Matters"", in Gleeson, Watson and Peden (eds), Historical Foundations of Australian Law, Volume II:"
"Jackson, ""The Legal Effects of the Passing of Time"", (1970) 7 Melbourne University Law Review"
"Jackson, ""The Incidence of Jury Trial During the Past Century"", (1937) 1 Modern Law Review"
"Jacob, ""The Inherent Jurisdiction of the Court"", (1970) 23 Current Legal Problems"
"Jacob, ""The Inherent Jurisdiction of the Court"", (1970) 23 Current Legal Problems"
"Jacob, ""The Inherent Jurisdiction of the Court"", (1970) 23 Current Legal Problems"
"Jacob, ""The Judicature Acts 1873-1875 Vision and Reality"", in Jacob"
"Jacobson, ""In Defence of the Canadian Court-martial System"" (1997) 4(3) National Network News,"
"Jaffey, ""Restitutionary Remedies in the Contractual Context"" (2013) 76 Modern Law Review"
"Jaffey, ""Restitutionary Remedies in the Contractual Context"" (2013) 76 Modern Law Review"
"Jaffey, ""Restitutionary Remedies in the Contractual Context"" (2013) 76 Modern Law Review"
"James, ""Burdens of Proof"" (1961) 47 Virginia Law Review"
"Jansen, ""The Idea of a Lost Chance"", (1999) 19 Oxford Journal of Legal Studies"
"Jansen, ""The Idea of a Lost Chance"", (1999) 19 Oxford Journal of Legal Studies"
"Jarrett and Mund, ""The Right of Assembly"", (1931) 9 New York University Law Quarterly Review"
